STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / DEPNRVWWTP_1_L3,DEP,1,Level 3 Fast Charger,725 W 135Th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_2_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_3_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_4_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_5_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_6_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNRVWWTP_7_L3,DEP,1,Level 3 Fast Charger,725 W 135th St,New York,10031,Manhattan,40.821384,-73.9581,109,7,22301,1084789,1021010117,MN0902
NYC FLEET / DEPNTWNCRK_1_L3,DEP,1,Level 3 Fast Charger,327 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731351,-73.946628,301,33,57902,3336623,3025250001,BK0101
NYC FLEET / DEPNTWNCRK_2_L3,DEP,1,Level 3 Fast Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNTWNCRK_3_L3,DEP,1,Level 3 Fast Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNTWNCRK_4_L3,DEP,1,Level 3 Fast Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNTWNCRK_5_L3,DEP,1,Level 3 Fast Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPNTWNCRK_6_L3,DEP,1,Level 3 Fast Charger,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,40.731272,-73.946848,301,33,57902,3397231,3025250001,BK0101
NYC FLEET / DEPOAKWWTP_1_L3,DEP,1,Level 3 Fast Charger,683 Mill Rd,Staten Island,10306,Staten Island,40.553917,-74.117306,503,50,12805,5000000,5047460007,SI0301
NYC FLEET / DEPOAKWWTP_2_L3,DEP,1,Level 3 Fast Charger,683 Mill Rd,Staten Island,10306,Staten Island,40.553917,-74.117306,503,50,12805,5000000,5047460007,SI0301
NYC FLEET / DEPOAKWWTP_3_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPOAKWWTP_4_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPOAKWWTP_5_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPOAKWWTP_6_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPOAKWWTP_7_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPOAKWWTP_8_L3,DEP,1,Level 3 Fast Charger,751 Mill Rd,Staten Island,10306,Staten Island,40.552071,-74.116133,503,50,12805,5135536,5050670500,SI0301
NYC FLEET / DEPQUEENSREP-S1,DEP,1,EV Solar Arc Charger,106-36 180th St,Queens,11433,Queens,40.703128,-73.77772,412,27,414,4459328,4103350032,QN1202
NYC FLEET / DEPROCKAWY_1_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPROCKAWY_2_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPROCKAWY_3_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPROCKAWY_4_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPROCKAWY_5_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPROCKAWY_6_L3,DEP,1,Level 3 Fast Charger,106 Beach Channel Dr,Queens,11694,Queens,,,,,,,,
NYC FLEET / DEPVALHALLA1_L3,DEP,1,Level 3 Fast Charger,10 Walker Rd,Valhalla,10595,Upstate,,,,,,,,
NYC FLEET / DHS_BKLMNR_1_L3,DHS,1,Level 3 Fast Charger,300 Skillman Ave,Brooklyn,11211,Brooklyn,40.71663,-73.939205,301,34,44901,3338304,3028850035,BK0104
NYC FLEET / DHS_BKLMNR-1,DHS,2,Level 2 Charger,300 Skillman Ave,East Williamsburg,11211,Brooklyn,40.71663,-73.939205,301,34,44901,3338304,3028850035,BK0104
NYC FLEET / DHS_BKLMNR-2,DHS,2,Level 2 Charger,300 Skillman Ave,East Williamsburg,11211,Brooklyn,40.71663,-73.939205,301,34,44901,3338304,3028850035,BK0104
NYC FLEET / DHS_COMM#27,DHS,1,Level 2 Charger,64 Sunken Garden Loop,New York,10035,Manhattan,40.785494,-73.931397,111,8,240,1085877,1018190010,MN1191
NYC FLEET / DHS_FARRAGUT-1,DHS,1,Level 2 Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHS_FARRAGUT-2,DHS,1,Level 2 Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHS_FARRAGUT-3,DHS,1,Level 2 Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHSFARAGUT_1_L3,DHS,1,Level 3 Fast Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHSFARAGUT_2_L3,DHS,1,Level 3 Fast Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHSFARAGUT_3_L3,DHS,1,Level 3 Fast Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DHSFARAGUT_4_L3,DHS,1,Level 3 Fast Charger,10107 Farragut Rd,Brooklyn,11236,Brooklyn,40.648081,-73.901772,318,42,1098,3229148,3081490001,BK0503
NYC FLEET / DOB_BRDWY_1_L3,DOB,1,Level 3 Fast Charger,280 Broadway,Manhattan,10007,Manhattan,40.714417,-74.006089,101,1,31,1079215,1001530001,MN0102
NYC FLEET / DOC_CHAPEL_1_L3,DOC,1,Level 3 Fast Charger,0 Hazen St,Queens,11370,Bronx,,,,,,,,
